EXP_GROUP,ID,MAIN_DRIVER_ID
A,29938223,764952
A,22856439,163063
A,23488163,657963
A,23801015,622011
B,25402363,708523
A,30709111,785944
A,31292979,798136
A,15852679,269482
A,23651907,662251
A,24372795,567894
A,25236023,706209
B,20698667,799816
A,27631503,734245
B,31332651,188892
A,31785843,812517
A,14036838,321307
A,17049067,365352
B,30712615,785990
B,14116766,161782
A,30907335,785508
A,14099594,637796
A,30256751,773688
A,31498055,804301
A,24419263,682975
A,21575591,578482
B,30881439,788807
B,30976755,791414
B,28247319,739431
B,31076487,383614
A,14594866,195492
B,17094543,373534
B,31319035,799897
B,27166519,215465
A,15420887,251207
B,22520547,610148
A,18087627,439402
B,30821895,457548
A,29002527,560439
B,29060843,221041
B,31219495,797139
B,22293355,605789
A,15850459,191662
B,14254858,171596
B,31334635,800759
B,30339143,461255
A,31623063,807452
B,31628307,808627
B,23170763,318323
B,14454126,186185
A,31010571,792293
B,31711179,810030
A,17214471,374260
B,25348379,706726
B,19210747,497262
A,21868975,592630
A,14396742,182399
A,28658455,744310
B,18156887,444031
A,17284103,372802
A,22594835,612726
B,15713335,102300
A,24550155,690991
A,31737903,810878
A,18708251,169797
B,30091779,767033
A,21635491,579796
B,29329771,753079
B,16169383,326923
B,14090394,324262
A,20955795,825511
B,30778983,786998
A,32058435,827147
B,29861743,320232
B,24532523,688055
A,31311787,799524
A,30877831,256651
A,32074303,828794
A,22922887,628468
A,21384431,558239
B,31882039,815535
A,19606663,514944
A,31739807,811020
A,25660431,331982
B,14932514,779891
A,31417563,799177
A,23909147,338732
B,26738903,404873
A,16691163,316265
B,23162123,641590
A,14104358,160996
A,17368263,387249
B,31312619,799817
B,30274035,707083
A,31314755,278190
A,18183903,428246
A,32100327,538175
A,24155951,398999
B,31362403,649327
B,18259287,449957
B,15161102,234304
A,23115227,253755
B,30410411,511356
B,28266975,630238
A,21584287,574641
A,14147906,163708
A,31296651,799195
A,14521758,190699
A,31753535,812854
A,31806875,578680
A,31717259,810164
B,20688371,547773
A,31298067,633506
A,31303071,39474
A,15564391,814126
A,14273454,173049
B,31080371,794148
B,27097591,726922
B,31091475,794475
B,14143098,606505
B,14203558,167427
B,14239670,170400
A,30386315,779384
A,31419571,802899
B,25106531,683692
A,14032938,321109
B,31466547,803961
B,15573403,258693
A,27236263,586869
A,21322803,566958
B,21638171,581001
A,17952751,429654
A,31406035,640992
A,31353419,801550
B,31508467,804644
A,18377535,458268
A,31465775,803514
B,31582651,806418
A,31586339,176008
A,30682767,803595
B,19205291,170826
B,14332546,177488
B,16422431,783256
B,21847899,588642
A,14430110,508300
A,14292826,174507
B,14224798,168969
B,31313107,799856
A,31715787,810108
A,30903815,788989
B,29246583,323073
B,18058263,435717
A,17594583,405250
B,23700867,663458
B,24781635,698360
A,14295526,174716
A,13989918,723159
A,14018866,320225
B,14188146,166134
A,15115850,548498
B,31754899,811542
A,29866643,761167
B,24649031,693455
B,14025742,320706
A,29524739,365606
A,19530183,531078
A,31509111,799117
B,31771111,702975
B,31783147,812518
A,14328298,458268
A,17077487,368132
B,14145930,163563
B,14206682,740537
B,31652199,808247
A,14088178,324141
A,30804863,170993
A,31384635,802225
A,22273135,482804
A,26203191,641956
A,32006331,825229
A,24858599,700199
B,31859579,492518
B,30364567,777424
B,30079127,470969
A,31735775,810686
B,17074087,373324
A,31790239,767197
B,31343759,801166
A,28920383,176323
B,23320307,500096
A,24160987,691659
A,31738075,810885
B,17811347,796109
A,21176179,814299
A,23294035,161028
B,14524222,190899
A,18772651,640362
A,30994395,791880
B,32068291,414236
B,32056435,827056
B,32249663,839131
B,30084239,766918
A,30384655,778273
A,14443994,185610
A,29734359,95723
B,15101698,229779
B,31595515,806903
B,20364819,325086
A,26206827,234712
A,23390103,655402
B,21712407,584002
B,30393587,185238
B,20556971,545623
A,32244151,838692
B,23237215,190726
A,22166587,458936
B,14942582,413928
B,24346799,58709
B,14190050,166317
A,25270467,725882
B,14128178,368753
A,31830931,813969
B,30212519,774676
B,26731507,723353
A,31833659,814036
B,31891927,816340
B,24415207,689739
B,28462111,511533
B,16970355,304173
A,14216110,168334
A,14234406,800328
A,23019231,633864
A,30979899,791483
B,31651351,808219
A,22555283,520698
A,31192359,796793
B,17389543,389359
A,16996839,359577
B,31333763,800680
B,14329990,165876
B,24363395,680907
A,24416415,682830
B,24534067,796706
A,22559403,611096
B,30990655,796270
A,31299627,799335
B,30532651,747792
A,31899547,816996
A,24367643,318733
A,31262687,798156
B,31468615,804038
A,31286547,798620
A,31588035,806666
B,14280258,401767
A,23159299,641446
A,23180591,642716
B,15691359,804595
A,24057947,672064
B,31305007,799402
B,31051403,389472
A,21798335,528791
A,31136715,721140
A,31220927,756701
A,24911951,610858
A,31297755,799260
A,13984978,318303
A,31087415,794438
B,14629678,197664
B,31396467,368935
B,17791827,210311
B,25847435,716070
B,29862455,661969
A,31386011,799177
A,18742855,479702
B,23236795,646397
B,15357258,247296
A,31780907,783318
A,23020083,633283
B,14077322,323605
B,14429394,184543
A,23088059,461919
A,31109375,794872
A,21831455,587921
B,21857831,590072
A,22817551,624128
B,15037874,225970
A,30174371,551574
B,31706435,809587
B,31314367,244619
A,23518275,617904
B,30905743,789046
B,24086783,479405
B,31561067,806045
B,18328451,455431
A,23134743,639646
B,23295007,650115
A,31714087,810010
A,31778283,635931
A,31052343,793333
A,14709210,582029
A,20069283,533659
B,32039431,826326
A,21792211,589469
B,30559427,784222
B,30753907,337614
A,30912595,556253
B,28349787,740729
B,30717099,786084
B,31262067,124233
B,22546723,361487
A,22925707,628591
A,30264495,220196
A,31626123,807570
A,31710903,809785
B,31713575,806670
A,32028727,825389
A,31183847,796589
B,29497999,754817
A,23177995,502668
A,15548235,257431
A,23328231,651871
B,15523867,256368
B,27407615,416784
B,32202315,834727
B,14128686,162611
B,14140346,325457
A,23224199,646402
B,21121959,560684
B,31810331,160934
B,17201459,375945
A,28194307,756951
B,18068567,436189
A,15040654,226195
A,18322351,443393
A,18769095,482225
A,24650511,635964
B,17119463,320320
B,26428199,358445
A,16333835,838923
A,32036031,656209
A,29208279,716929
B,24091279,673270
A,16338679,170993
B,32127979,162085
B,29832383,232855
B,24376259,681721
A,30398651,779126
B,29561475,755875
A,23151779,641956
A,18361099,457012
B,14182994,165716
A,30217287,743876
A,31296587,799184
A,30537871,783132
A,22262583,602146
B,12738842,134357
B,31490611,805892
B,31300039,799442
B,14318782,176522
A,19226467,498364
B,14237674,170243
B,23572475,365361
A,31298055,799188
B,18847327,485036
A,31465307,803507
B,30672135,785424
B,31352547,801269
A,14521930,190717
B,31370259,802008
B,20831399,553441
A,25515271,343547
A,17797959,413530
A,16835939,347401
B,14146482,163607
A,14272102,172926
A,31093039,794555
A,29837259,412641
A,31389599,799337
B,23160215,641547
A,22951687,631873
B,25248995,706515
